Step,Seed,Total_Infected,Susc_S0_B0,Immun_S0_B0,Susc_S0_B1,Immun_S0_B1,Susc_S1_B0,Immun_S1_B0,Susc_S1_B1,Immun_S1_B1,Susc_S2_B0,Immun_S2_B0,Susc_S2_B1,Immun_S2_B1,Susc_S3_B0,Immun_S3_B0,Susc_S3_B1,Immun_S3_B1,replicate_uid,seed,n_sites,pop_size,n_steps,engine,pow,mutation_rate,contact_rate,recovery_rate,waning_rate,immune_strength,seed_count,immunity_floor,immunity_ceiling
23,1,0.00628,0.991299033164978,0.003457731334492564,0.9937199950218201,0.0,0.991299033164978,0.003457731334492564,0.9937199950218201,0.0,0.991299033164978,0.003457731334492564,0.9937199950218201,0.0,0.991299033164978,0.003457731334492564,0.9937199950218201,0.0,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
24,1,0.00776,0.9893025755882263,0.004195354878902435,0.9922400116920471,0.0,0.9893025755882263,0.004195354878902435,0.9922400116920471,0.0,0.9893025755882263,0.004195354878902435,0.9922400116920471,0.0,0.9893025755882263,0.004195354878902435,0.9922400116920471,0.0,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
25,1,0.00921,0.9871891140937805,0.00514339841902256,0.9907900094985962,0.0,0.9871891140937805,0.00514339841902256,0.9907900094985962,0.0,0.9871891140937805,0.00514339841902256,0.9907900094985962,0.0,0.9871891140937805,0.00514339841902256,0.9907900094985962,0.0,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
26,1,0.01129,0.9843334555625916,0.00625025387853384,0.9887099862098694,0.0,0.9843334555625916,0.00625025387853384,0.9887099862098694,0.0,0.9843334555625916,0.00625025387853384,0.9887099862098694,0.0,0.9843334555625916,0.00625025387853384,0.9887099862098694,0.0,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
27,1,0.01364,0.9808489084243774,0.00787073839455843,0.9863600134849548,0.0,0.9808489084243774,0.00787073839455843,0.9863600134849548,0.0,0.9808489084243774,0.00787073839455843,0.9863600134849548,0.0,0.9808489084243774,0.00787073839455843,0.9863600134849548,0.0,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
28,1,0.01665,0.9766947627067566,0.009504714980721474,0.9833499789237976,0.0,0.9766947627067566,0.009504714980721474,0.9833499789237976,0.0,0.9766947627067566,0.009504714980721474,0.9833499789237976,0.0,0.9766947627067566,0.009504714980721474,0.9833499789237976,0.0,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
29,1,0.02003,0.9719539880752563,0.01144906971603632,0.9799699783325195,0.0,0.9719539880752563,0.01144906971603632,0.9799699783325195,0.0,0.9719539880752563,0.01144906971603632,0.9799699783325195,0.0,0.9719539880752563,0.01144906971603632,0.9799699783325195,0.0,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
30,1,0.02437,0.9659678936004639,0.013809598051011562,0.975629985332489,0.0,0.9659678936004639,0.013809598051011562,0.975629985332489,0.0,0.9659678936004639,0.013809598051011562,0.975629985332489,0.0,0.9659678936004639,0.013809598051011562,0.975629985332489,0.0,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
31,1,0.02936,0.9587118029594421,0.017037851735949516,0.9706400036811829,0.0,0.9587118029594421,0.017037851735949516,0.9706400036811829,0.0,0.9587118029594421,0.017037851735949516,0.9706400036811829,0.0,0.9587118029594421,0.017037851735949516,0.9706400036811829,0.0,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
32,1,0.03497,0.9503431916236877,0.020975971594452858,0.9650300145149231,0.0,0.9503431916236877,0.020975971594452858,0.9650300145149231,0.0,0.9503431916236877,0.020975971594452858,0.9650300145149231,0.0,0.9503639340400696,0.02094627171754837,0.9650092124938965,2.970000059576705e-05,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
